TrackName,Genre,link,rating
Arziyan,Sufi,https://www.youtube.com/watch?v=JA09HEGTzCU,1.1
Aaaya Tere Dar Par,Sufi,https://www.youtube.com/watch?v=D_ShYllfh9I,1.1
Ali Maula,Sufi,https://www.youtube.com/watch?v=SRC4xPzsOWY,1.1
Mere Rashke Kamar,Sufi,https://www.youtube.com/watch?v=q8gilwzNQEA,1.1
Leave me alone ,slow,https://www.youtube.com/watch?v=XGGWhOUYObc,1.1
Lost in the Fire ,dark|rock,https://www.youtube.com/watch?v=ZGDGdRIxvd0,1.1
Without Me,dance|pop,https://www.youtube.com/watch?v=J6enOG547lk,1.1
emotions,slow,https://www.youtube.com/watch?v=S-Y-2pcOVqk,1.1
gone girl,pop|rock,https://www.youtube.com/watch?v=q5wiUL9xdZQ,1.1
MIDDLE CHILD,dark,https://www.youtube.com/watch?v=WILNIXZr2oc,1.1
All Day And Night,happy|pop,https://www.youtube.com/watch?v=jfreFPe99GU,1.1
Sorry,happy|pop,https://www.youtube.com/watch?v=fRh_vgS2dFE,1.1
Sucker,pop|rock,https://www.youtube.com/watch?v=CnAmeh0-E-U,1.1
Only Human,pop,https://www.youtube.com/watch?v=kBNt8hYvn8A,1.1
Robbery,happy|rock,https://www.youtube.com/watch?v=iI34LYmJ1Fs,1.1
Good as You,dark|rap,https://www.youtube.com/watch?v=mS3TeZEp_PE,1.1
Nights Like This,dance|pop,https://www.youtube.com/watch?v=I99qCuWx1mI,1.1
Better,pop|rock,https://www.youtube.com/watch?v=x3bfa3DZ8JM,1.1
Talk ,pop|rap,https://www.youtube.com/watch?v=Y1QZOprK7PQ,1.1
ZEZE ,happy,https://www.youtube.com/watch?v=EfHNIPXTxy0,1.1
Shallow,pop|rock,https://www.youtube.com/watch?v=bo_efYhYU2A,1.1
Doin Time,pop|rock,https://www.youtube.com/watch?v=qolmz4FlnZ0,1.1
I m so tired,dance|pop,https://www.youtube.com/watch?v=fvjpE_wFL5A,1.1
Someone You Loved,pop,https://www.youtube.com/watch?v=zABLecsR5UE,1.1
Grace,pop|rock|rap,https://www.youtube.com/watch?v=3npC_24Iq9s,1.1
Old Town Road Remix,hip hop,https://www.youtube.com/watch?v=_EPgZjMcQVk,1.1
Old Town Road,hip hop,https://www.youtube.com/watch?v=r7qovpFAGrQ,1.1
Panini,hip hop,https://www.youtube.com/watch?v=bXcSLI58-h8,1.1
Ransom,slow|happy,https://www.youtube.com/watch?v=1XzY2ij_vL4,1.1
Truth Hurts,dance|pop,https://www.youtube.com/watch?v=P00HMxdsVZI,1.1
Good as Hell,dance|pop,https://www.youtube.com/watch?v=SmbmeOgWsqE,1.1
Light On,pop,https://www.youtube.com/watch?v=MSFjYe54uv4,1.1
Nothing Breaks Like a Heart ,dance|pop,https://www.youtube.com/watch?v=A9hcJgtnm6Q,1.1
Here With Me,sad,https://www.youtube.com/watch?v=J3UXp9jIr-U,1.1
One Thing Right,sad,https://www.youtube.com/watch?v=29a6o5vRKVM,1.1
Piece Of Your Heart,pop,https://www.youtube.com/watch?v=KWjV25q34Hw,1.1
Going Bad ,hip hop,https://www.youtube.com/watch?v=S1gp0m4B5p8,1.1
Hot Girl Summer ,dance|pop,https://www.youtube.com/watch?v=FbcLcSY2au4,1.1
Slide Away,dance|pop,https://www.youtube.com/watch?v=rrvFv6j3-sM,1.1
Pure Water,hip hop,https://www.youtube.com/watch?v=9hJ8lLNWrM4,1.1
Shotta Flow ,hip hop,https://www.youtube.com/watch?v=2KDlDuS6r6I,1.1
Options,dance,https://www.youtube.com/watch?v=xALCpLXcIYY,1.1
Clout ,dance|hip hop,https://www.youtube.com/watch?v=mt2zvsvkKKo,1.1
High Hopes,dark,https://www.youtube.com/watch?v=IPXIgEAGe4U,1.1
Adan y Eva,hip hop,https://www.youtube.com/watch?v=aSjflT_J0Xo,1.1
Pop Out ,happy,https://www.youtube.com/watch?v=g-uW3I_AtDE,1.1
Circles,rap|rock,https://www.youtube.com/watch?v=wXhTHyIgQ_U,1.1
Better Now,rap,https://www.youtube.com/watch?v=UYwF-jdcVjY,1.1
Sunflower SpiderMan Into the Spider-Verse,rap,https://www.youtube.com/watch?v=ApXoWvfEYVU,1.1
Wow,rap|rock,https://www.youtube.com/watch?v=393C3pr2ioY,1.1
Goodbyes,rap|rock,https://www.youtube.com/watch?v=ba7mB8oueCY,1.1
Bohemian Rhapsody Remastered 2011,rock,https://www.youtube.com/watch?v=xG16sdjLtc0,1.1
Ride It,dance|pop,https://www.youtube.com/watch?v=laX10zYgk8I,1.1
Keisha and Becky Remix,motivational,https://www.youtube.com/watch?v=egSqA6j9csw,1.1
Post Malone ,dance|pop,https://www.youtube.com/watch?v=TewoJFN61mI,1.1
My Type,rap,https://www.youtube.com/watch?v=x5c2iRHlAHA,1.1
If I Can't Have You,pop,https://www.youtube.com/watch?v=d6_9CF1ucoI,1.1
Lover,pop,https://www.youtube.com/watch?v=mH_LFkWxpI0,1.1
Cruel Summer,pop,https://www.youtube.com/watch?v=ic8j13piAhQ,1.1
You Need To Calm Down,pop,https://www.youtube.com/watch?v=Dkk9gvTmCXY,1.1
SICKO MODE,hip hop,https://www.youtube.com/watch?v=6ONRf7h3Mdk,1.1
EARFQUAKE,hip hop,https://www.youtube.com/watch?v=HmAsUQEFYGI,1.1
Strike a Pose ,rock,https://www.youtube.com/watch?v=ng83tmoQ3yU,1.1
The London ,rock|hip hop,https://www.youtube.com/watch?v=G8Hp-AKrfm0,1.1
Dil Ibaadat,romantic,https://www.youtube.com/watch?v=hHKJRZDWVBY,1.1
TU hi haqeeqat,romantic,https://www.youtube.com/watch?v=Jcx7KFSPY4g,1.1
Shape of you,romantic|pop,https://www.youtube.com/watch?v=JGwWNGJdvx8,1.1
I dont care,romantic|pop,https://www.youtube.com/watch?v=y83x7MgzWOA,1.1
South of Border,pop,https://www.youtube.com/watch?v=UPOT2tgY9QQ,1.1
Perfect,happy|romantic,https://www.youtube.com/watch?v=2Vv-BfVoq4g,1.1
Bad Habits,hip hop,https://www.youtube.com/watch?v=orJSJGHjBLI,1.1
Shivers,pop|happy,https://www.youtube.com/watch?v=Il0S8BoucSA,1.1
Hymn For the Weekend,rock|happy,https://www.youtube.com/watch?v=YykjpeuMNEk,1.1
Waiting for Love,pop|hip hop|happy,https://www.youtube.com/watch?v=cHHLHGNpCSA,1.1
Wake me Up,pop|rock|happy,https://www.youtube.com/watch?v=IcrbM1l_BoI,1.1
Happy ,pop|rock|happy,https://www.youtube.com/watch?v=ZbZSe6N_BXs,1.1
